YYYY MM DD hh mm DIR SPD GDR GSP GMN
2003 01 01 20 10 232 6.6 999 99.0 99
2003 01 01 20 20 229 6.7 999 99.0 99
2003 01 01 20 30 222 7.1 999 99.0 99
2003 01 01 20 40 229 7.2 999 99.0 99
2003 01 01 20 50 233 6.5 999 99.0 99
2003 01 01 21 00 244 6.1 229 8.0 37
2003 01 01 21 10 236 6.4 999 99.0 99
2003 01 01 21 20 228 6.0 999 99.0 99
2003 01 01 21 30 224 5.8 999 99.0 99
2003 01 01 21 40 222 6.1 999 99.0 99
2003 01 01 21 50 221 6.4 999 99.0 99
2003 01 01 22 00 226 6.1 226 7.3 53
2003 01 01 22 10 228 6.0 999 99.0 99
2003 01 01 22 20 230 6.2 999 99.0 99
2003 01 01 22 30 232 6.2 999 99.0 99
2003 01 01 22 40 233 6.1 999 99.0 99
2003 01 01 22 50 241 6.2 999 99.0 99
2003 01 01 23 00 276 6.8 266 7.9 51
2003 01 01 23 10 285 5.6 999 99.0 99
2003 01 01 23 20 289 5.0 999 99.0 99
2003 01 01 23 30 288 4.5 999 99.0 99
2003 01 01 23 40 290 3.9 999 99.0 99
2003 01 01 23 50 292 3.9 999 99.0 99
2003 01 02 00 00 293 3.6 286 6.7 1
2003 01 02 00 10 275 3.5 999 99.0 99
2003 01 02 00 20 283 3.7 999 99.0 99
2003 01 02 00 30 290 3.3 999 99.0 99
2003 01 02 00 40 299 2.7 999 99.0 99
2003 01 02 00 50 298 3.5 999 99.0 99
2003 01 02 01 00 302 3.5 286 4.3 20
2003 01 02 01 10 299 3.8 999 99.0 99
2003 01 02 01 20 294 3.9 999 99.0 99
2003 01 02 01 30 295 4.0 999 99.0 99
2003 01 02 01 40 295 4.5 999 99.0 99
2003 01 02 01 50 297 4.5 999 99.0 99
2003 01 02 02 00 302 3.9 293 5.0 35
2003 01 02 02 10 306 3.1 999 99.0 99
2003 01 02 02 20 319 3.0 999 99.0 99
2003 01 02 02 30 318 3.0 999 99.0 99
2003 01 02 02 40 317 2.9 999 99.0 99
2003 01 02 02 50 316 3.1 999 99.0 99
2003 01 02 03 00 322 3.2 311 4.2 43
2003 01 02 03 10 322 3.3 999 99.0 99
2003 01 02 03 20 322 3.3 999 99.0 99
