YYYY MM DD hh mm DIR SPD GDR GSP GMN
2000 12 31 23 10 17 4.2 999 99.0 99
2000 12 31 23 20 2 4.9 999 99.0 99
2000 12 31 23 30 6 5.1 999 99.0 99
2000 12 31 23 40 7 6.2 999 99.0 99
2000 12 31 23 50 355 5.7 999 99.0 99
2001 01 01 00 00 355 6.3 9 8.2 33
2001 01 01 00 10 351 6.4 999 99.0 99
2001 01 01 00 20 349 6.4 999 99.0 99
2001 01 01 00 30 353 6.1 999 99.0 99
2001 01 01 00 40 348 5.9 999 99.0 99
2001 01 01 00 50 346 6.0 999 99.0 99
2001 01 01 01 00 350 6.1 351 8.2 23
2001 01 01 01 10 352 6.2 999 99.0 99
2001 01 01 01 20 353 6.2 999 99.0 99
2001 01 01 01 30 354 6.2 999 99.0 99
2001 01 01 01 40 360 6.4 999 99.0 99
2001 01 01 01 50 7 6.3 999 99.0 99
2001 01 01 02 00 9 6.1 357 8.0 39
2001 01 01 02 10 8 5.9 999 99.0 99
2001 01 01 02 20 11 5.8 999 99.0 99
2001 01 01 02 30 13 5.6 999 99.0 99
2001 01 01 02 40 12 5.4 999 99.0 99
2001 01 01 02 50 12 5.8 999 99.0 99
2001 01 01 03 00 10 5.6 9 7.6 15
2001 01 01 03 10 16 5.6 999 99.0 99
2001 01 01 03 20 11 5.5 999 99.0 99
2001 01 01 03 30 2 5.7 999 99.0 99
2001 01 01 03 40 6 5.9 999 99.0 99
2001 01 01 03 50 4 6.1 999 99.0 99
2001 01 01 04 00 2 6.5 6 8.1 47
2001 01 01 04 10 6 6.0 999 99.0 99
2001 01 01 04 20 357 6.2 999 99.0 99
2001 01 01 04 30 355 6.2 999 99.0 99
2001 01 01 04 40 1 6.2 999 99.0 99
2001 01 01 04 50 3 6.4 999 99.0 99
2001 01 01 05 00 359 6.6 1 7.9 12
2001 01 01 05 10 2 6.8 999 99.0 99
2001 01 01 05 20 3 7.1 999 99.0 99
2001 01 01 05 30 360 7.3 999 99.0 99
2001 01 01 05 40 1 6.8 999 99.0 99
2001 01 01 05 50 3 7.0 999 99.0 99
2001 01 01 06 00 2 7.0 7 8.7 14
2001 01 01 06 10 356 7.1 999 99.0 99
2001 01 01 06 20 356 7.0 999 99.0 99
2001 01 01 06 30 355 6.8 999 99.0 99
2001 01 01 06 40 351 6.9 999 99.0 99
2001 01 01 06 50 354 7.5 999 99.0 99
2001 01 01 07 00 352 7.4 351 8.8 58
2001 01 01 07 10 352 7.7 999 99.0 99
2001 01 01 07 20 352 8.4 999 99.0 99
2001 01 01 07 30 351 8.2 999 99.0 99
2001 01 01 07 40 355 8.7 999 99.0 99
2001 01 01 07 50 354 8.4 999 99.0 99
2001 01 01 08 00 352 8.3 341 9.7 34
2001 01 01 08 10 354 8.2 999 99.0 99
2001 01 01 08 20 354 7.9 999 99.0 99
2001 01 01 08 30 352 7.8 999 99.0 99
2001 01 01 08 40 350 7.8 999 99.0 99
2001 01 01 08 50 350 7.6 999 99.0 99
2001 01 01 09 00 352 7.4 351 9.2 1
2001 01 01 09 10 353 7.3 999 99.0 99
2001 01 01 09 20 354 7.6 999 99.0 99
2001 01 01 09 30 350 7.7 999 99.0 99
2001 01 01 09 40 351 7.9 999 99.0 99
2001 01 01 09 50 348 7.8 999 99.0 99
2001 01 01 10 00 349 7.7 344 9.0 42
2001 01 01 10 10 351 8.2 999 99.0 99
2001 01 01 10 20 350 8.4 999 99.0 99
2001 01 01 10 30 347 8.6 999 99.0 99
2001 01 01 10 40 347 8.9 999 99.0 99
2001 01 01 10 50 347 8.6 999 99.0 99
2001 01 01 11 00 349 8.4 344 9.7 22
2001 01 01 11 10 346 8.4 999 99.0 99
2001 01 01 11 20 349 8.8 999 99.0 99
2001 01 01 11 30 350 8.7 999 99.0 99
2001 01 01 11 40 354 8.9 999 99.0 99
2001 01 01 11 50 356 9.2 999 99.0 99
2001 01 01 12 00 358 8.9 355 10.6 49
2001 01 01 12 10 355 8.9 999 99.0 99
2001 01 01 12 20 353 8.4 999 99.0 99
2001 01 01 12 30 354 8.6 999 99.0 99
2001 01 01 12 40 354 8.9 999 99.0 99
2001 01 01 12 50 352 9.0 999 99.0 99
2001 01 01 13 00 354 9.3 354 10.5 54
2001 01 01 13 10 358 8.7 999 99.0 99
2001 01 01 13 20 355 8.6 999 99.0 99
2001 01 01 13 30 354 9.1 999 99.0 99
2001 01 01 13 40 357 9.1 999 99.0 99
2001 01 01 13 50 359 8.4 999 99.0 99
2001 01 01 14 00 359 7.9 359 10.4 32
2001 01 01 14 10 360 7.2 999 99.0 99
2001 01 01 14 20 5 6.9 999 99.0 99
2001 01 01 14 30 9 7.4 999 99.0 99
2001 01 01 14 40 12 7.1 999 99.0 99
2001 01 01 14 50 16 6.3 999 99.0 99
2001 01 01 15 00 22 6.0 12 8.4 24
2001 01 01 15 10 28 5.4 999 99.0 99
2001 01 01 15 20 27 5.7 999 99.0 99
2001 01 01 15 30 21 6.0 999 99.0 99
2001 01 01 15 40 18 5.8 999 99.0 99
2001 01 01 15 50 18 6.0 999 99.0 99
2001 01 01 16 00 11 6.3 11 7.5 56
2001 01 01 16 10 10 6.7 999 99.0 99
2001 01 01 16 20 9 6.4 999 99.0 99
2001 01 01 16 30 10 6.3 999 99.0 99
2001 01 01 16 40 20 6.1 999 99.0 99
2001 01 01 16 50 15 6.2 999 99.0 99
2001 01 01 17 00 17 6.8 20 7.9 57
2001 01 01 17 10 18 7.4 999 99.0 99
2001 01 01 17 20 15 7.0 999 99.0 99
2001 01 01 17 30 9 6.7 999 99.0 99
2001 01 01 17 40 13 6.2 999 99.0 99
2001 01 01 17 50 19 5.6 999 99.0 99
2001 01 01 18 00 19 5.7 16 8.7 0
2001 01 01 18 10 17 6.3 999 99.0 99
2001 01 01 18 20 16 6.5 999 99.0 99
2001 01 01 18 30 11 6.8 999 99.0 99
2001 01 01 18 40 16 7.1 999 99.0 99
2001 01 01 18 50 19 7.5 999 99.0 99
2001 01 01 19 00 19 7.7 16 8.8 52
2001 01 01 19 10 22 8.1 999 99.0 99
2001 01 01 19 20 26 8.4 999 99.0 99
2001 01 01 19 30 30 8.5 999 99.0 99
2001 01 01 19 40 32 8.5 999 99.0 99
2001 01 01 19 50 29 8.4 999 99.0 99
2001 01 01 20 00 28 8.3 36 9.9 28
